train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
33,3400;1,9277;48,1000;1,8044;40,3517;48,1000;40,3517
48,7340;1,6335;62,2700;1,4250;51,1103;62,2700;51,1103
55,0700;1,5004;67,8000;1,2788;55,8828;67,8000;55,8828
59,2900;1,4123;64,2600;1,3982;46,7310;64,2600;46,7310
62,2320;1,3482;78,1800;1,0867;66,7103;78,1800;66,7103
64,6320;1,3015;77,1400;1,0696;63,5241;77,1400;63,5241
66,2300;1,2620;80,0100;1,0265;68,2690;80,0100;68,2690
67,5900;1,2346;81,0800;1,0111;66,0828;81,0800;66,0828
68,8280;1,2055;80,4800;0,9923;69,3172;80,4800;69,3172
70,2180;1,1766;84,2600;0,9100;69,4759;84,2600;69,4759
71,2240;1,1507;84,7200;0,9095;71,4414;84,7200;71,4414
72,5540;1,1238;86,1600;0,8801;69,6897;86,1600;69,6897
73,6960;1,1009;85,8000;0,8775;72,2345;85,8000;72,2345
74,9720;1,0733;88,0400;0,8296;74,2897;88,0400;74,2897
75,6640;1,0555;88,1600;0,8227;73,2690;88,1600;73,2690
76,1820;1,0430;88,9100;0,7973;74,3724;88,9100;74,3724
77,1180;1,0233;89,5500;0,7753;76,7862;89,5500;76,7862
77,5520;1,0134;89,5600;0,7828;76,7310;89,5600;76,7310
78,2000;1,0012;89,8900;0,7732;76,6483;89,8900;76,6483
78,2840;0,9982;89,9600;0,7712;76,6759;89,9600;76,6759
71,0960;1,1577;82,6800;0,9475;65,6000;82,6800;65,6000
71,1080;1,1543;84,0600;0,9124;66,5103;84,0600;66,5103
71,7020;1,1422;83,3200;0,9307;67,7310;83,3200;67,7310
72,4580;1,1231;84,4100;0,9249;69,5517;84,4100;69,5517
72,9280;1,1101;85,7500;0,8801;73,2828;85,7500;73,2828
73,8680;1,0939;85,8300;0,8794;71,3517;85,8300;71,3517
74,1700;1,0846;87,1000;0,8446;71,7448;87,1000;71,7448
74,6660;1,0733;87,5600;0,8274;72,0621;87,5600;72,0621
75,1880;1,0616;87,0900;0,8432;72,0069;87,0900;72,0069
75,6680;1,0512;88,9000;0,7898;74,6138;88,9000;74,6138
76,0180;1,0449;88,9900;0,7980;75,5310;88,9900;75,5310
77,0400;1,0284;89,3800;0,7796;78,3172;89,3800;78,3172
76,8420;1,0252;89,6700;0,7828;77,0621;89,6700;77,0621
77,2520;1,0152;89,5700;0,7807;76,0966;89,5700;76,0966
77,7360;1,0048;90,2900;0,7493;77,4483;90,2900;77,4483
78,3300;0,9956;89,6400;0,7721;74,3931;89,6400;74,3931
78,3880;0,9926;90,3200;0,7553;76,0138;90,3200;76,0138
79,0860;0,9800;89,8300;0,7602;76,7448;89,8300;76,7448
79,2500;0,9715;90,7600;0,7473;78,3034;90,7600;78,3034
79,7180;0,9602;90,6300;0,7420;79,1931;90,6300;79,1931
80,0220;0,9553;91,6200;0,7220;78,5793;91,6200;78,5793
80,8500;0,9413;90,9200;0,7321;78,6690;90,9200;78,6690
81,1760;0,9329;92,0400;0,7080;79,3724;92,0400;79,3724
81,3160;0,9256;92,2000;0,6982;79,7034;92,2000;79,7034
81,6980;0,9186;92,6600;0,6905;79,1448;92,6600;79,1448
82,1980;0,9048;92,7600;0,6918;79,7862;92,7600;79,7862
82,4940;0,9005;92,7200;0,6902;80,3241;92,7200;80,3241
82,7680;0,8934;92,9800;0,6955;80,0069;92,9800;80,0069
83,1860;0,8837;92,7200;0,6893;79,6759;92,7200;79,6759
83,5600;0,8747;93,4500;0,6662;81,6000;93,4500;81,6000
83,7440;0,8695;93,5500;0,6740;80,7862;93,5500;80,7862
84,1600;0,8627;93,7600;0,6686;81,9103;93,7600;81,9103
84,4520;0,8547;93,9900;0,6578;81,7793;93,9900;81,7793
84,9960;0,8465;93,7100;0,6649;82,2897;93,7100;82,2897
85,1700;0,8423;93,9700;0,6588;82,5931;93,9700;82,5931
84,9480;0,8430;93,8900;0,6588;81,9724;93,8900;81,9724
85,2740;0,8379;94,0700;0,6553;82,0207;94,0700;82,0207
85,2480;0,8363;94,2300;0,6527;82,3034;94,2300;82,3034
85,3240;0,8370;94,1700;0,6539;82,6345;94,1700;82,6345
85,6340;0,8312;94,3300;0,6515;82,4207;94,3300;82,4207
78,3340;0,9931;89,6500;0,7608;79,5586;89,6500;79,5586
78,1940;1,0014;90,8300;0,7457;75,5931;90,8300;75,5931
77,8700;0,9985;90,8100;0,7462;78,2897;90,8100;78,2897
78,4700;0,9900;89,8600;0,7639;76,6759;89,8600;76,6759
78,4220;0,9896;90,3900;0,7535;75,8966;90,3900;75,8966
78,7420;0,9801;90,6200;0,7509;76,6897;90,6200;76,6897
78,8260;0,9790;90,8300;0,7460;77,5586;90,8300;77,5586
78,8740;0,9778;91,1000;0,7294;77,7931;91,1000;77,7931
79,3380;0,9704;91,1400;0,7272;76,5103;91,1400;76,5103
79,5960;0,9689;91,1200;0,7251;75,8828;91,1200;75,8828
79,7180;0,9627;90,5500;0,7473;76,2345;90,5500;76,2345
79,9860;0,9573;91,3500;0,7268;77,5379;91,3500;77,5379
79,9940;0,9540;90,8800;0,7343;77,0621;90,8800;77,0621
80,0980;0,9511;91,1500;0,7195;80,0345;91,1500;80,0345
80,3600;0,9452;90,6200;0,7459;75,9724;90,6200;75,9724
80,3540;0,9454;91,6100;0,7194;79,9586;91,6100;79,9586
80,7760;0,9395;91,4700;0,7080;76,2690;91,4700;76,2690
81,0040;0,9293;92,0600;0,7007;78,8207;92,0600;78,8207
81,0200;0,9299;91,8900;0,7103;79,3655;91,8900;79,3655
81,0140;0,9310;91,4900;0,7139;77,5517;91,4900;77,5517
81,4180;0,9239;91,9300;0,7090;79,7034;91,9300;79,7034
81,3940;0,9227;92,3100;0,7020;78,7448;92,3100;78,7448
81,6180;0,9191;92,4200;0,6925;78,6552;92,4200;78,6552
81,6560;0,9159;92,3200;0,6948;77,6621;92,3200;77,6621
82,2660;0,9038;92,3400;0,6966;80,1517;92,3400;80,1517
82,1900;0,9053;92,3000;0,6955;81,6138;92,3000;81,6138
82,4040;0,9047;92,9700;0,6829;79,1862;92,9700;79,1862
82,2960;0,9002;92,5900;0,6953;80,9448;92,5900;80,9448
