;config_558_avg;config_558_std;config_558_run_0;config_558_run_1;config_558_run_2;config_558_run_3;config_558_run_4
Standard_Acc;96,6200;0,1747;96,4100;96,6900;96,5600;96,9200;96,5200
RMSCE;0,0492;0,0049;0,0476;0,0428;0,0480;0,0494;0,0579
gaussian_noise;86,9200;0,7652;86,2000;88,2000;86,4000;86,4000;87,4000
shot_noise;88,2000;0,4561;88,4000;88,9000;88,1000;87,5000;88,1000
impulse_noise;87,3200;1,1143;87,1000;89,1000;86,1000;86,3000;88,0000
defocus_blur;93,7600;0,6437;94,1000;94,7000;92,9000;93,9000;93,2000
glass_blur;88,9000;0,7071;88,4000;88,3000;89,1000;90,2000;88,5000
motion_blur;92,7600;0,7283;92,0000;93,0000;93,5000;93,5000;91,8000
zoom_blur;93,4000;0,6261;92,9000;92,9000;94,5000;93,7000;93,0000
snow;92,0800;0,8658;92,6000;92,4000;90,6000;93,1000;91,7000
frost;94,6400;0,9851;93,0000;95,8000;94,4000;94,5000;95,5000
fog;94,3800;0,3187;94,5000;94,7000;94,7000;94,0000;94,0000
brightness;95,9000;0,7183;96,5000;95,3000;94,8000;96,6000;96,3000
contrast;94,2800;0,6400;93,7000;94,9000;93,9000;93,7000;95,2000
elastic_transform;91,2400;0,4758;90,3000;91,4000;91,4000;91,6000;91,5000
pixelate;90,1200;1,3348;91,3000;91,7000;89,0000;88,2000;90,4000
jpeg_compression;86,4200;0,6337;86,6000;86,8000;87,0000;85,2000;86,5000
speckle_noise;89,7000;0,4382;89,4000;90,4000;89,2000;90,0000;89,5000
gaussian_blur;91,3200;1,2448;90,7000;93,4000;91,3000;91,6000;89,6000
spatter;93,0400;0,8089;94,1000;92,7000;92,4000;93,9000;92,1000
saturate;95,7000;0,4147;95,7000;96,3000;95,8000;95,0000;95,7000
blue_noise;87,0400;1,3455;89,4000;86,8000;86,9000;86,9000;85,2000
brownish_noise;79,0600;1,3215;80,8000;77,9000;77,5000;78,7000;80,4000
checkerboard_cutout;87,5600;1,3440;87,9000;85,5000;87,4000;87,3000;89,7000
circular_motion_blur;92,8400;0,7813;92,2000;91,9000;93,9000;93,6000;92,6000
inverse_sparkles;77,0800;1,6726;75,3000;77,4000;78,6000;79,1000;75,0000
lines;80,8600;0,6888;79,9000;81,3000;81,2000;81,7000;80,2000
pinch_and_twirl;93,7600;0,5161;93,0000;94,0000;93,9000;94,5000;93,4000
ripple;87,2200;1,3136;88,3000;88,3000;86,9000;87,8000;84,8000
sparkles;87,6200;1,5039;85,7000;89,8000;86,7000;88,9000;87,0000
transverse_chromatic_abberation;84,0200;0,9474;82,8000;83,0000;84,5000;85,2000;84,6000
Acc_C-all-19;91,5832;0,2923;91,4474;92,1526;91,3211;91,5211;91,4737
Acc_C-original-15;91,3547;0,2790;91,1733;91,8733;91,0933;91,2267;91,4067
Acc_C-bar-10;85,7060;0,3634;85,5300;85,5900;85,7500;86,3700;85,2900
Acc_all-ex-pixelwise-noise-24;89,9150;0,2285;89,6792;90,1417;89,8292;90,2292;89,6958
RMSCE_C;0,0633;0,0025;0,0617;0,0643;0,0596;0,0641;0,0668
Combined_Noise;90,3180;0,2431;90,2700;90,6400;90,5300;90,1900;89,9600
