time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
54,0354;28,0380;2,0296;45,0700;1,7420;39,3172;45,0700;39,3172
108,6138;45,2120;1,7094;60,7700;1,4673;51,8759;60,7700;51,8759
162,1824;52,9660;1,5579;65,2300;1,4062;55,0966;65,2300;55,0966
212,8127;58,2700;1,4438;75,0700;1,1739;65,1655;75,0700;65,1655
262,3733;61,6120;1,3767;70,5300;1,2656;57,5931;70,5300;57,5931
313,0069;63,7240;1,3279;79,7300;1,0417;68,4621;79,7300;68,4621
369,3818;65,8860;1,2818;80,2600;1,0055;69,4000;80,2600;69,4000
420,0833;67,4180;1,2502;81,6900;0,9842;70,3517;81,6900;70,3517
470,9813;69,0600;1,2124;82,5500;0,9638;70,7241;82,5500;70,7241
523,0599;70,2460;1,1883;84,5400;0,9144;72,8966;84,5400;72,8966
49,2236;71,8102;1,1475;84,4600;0,9071;73,9448;84,4600;73,9448
48,3996;73,0820;1,1218;86,4300;0,8679;75,5655;86,4300;75,5655
96,9307;73,9420;1,1008;87,0700;0,8438;76,4759;87,0700;76,4759
148,5588;74,7860;1,0847;88,3200;0,8184;78,6690;88,3200;78,6690
47,6810;77,1306;1,0282;88,4300;0,8053;77,6897;88,4300;77,6897
40,2722;78,8960;0,9904;88,9700;0,7907;78,7103;88,9700;78,7103
39,6254;79,6816;0,9776;89,3100;0,7750;79,3034;89,3100;79,3034
79,7082;79,9039;0,9707;89,7400;0,7730;79,2552;89,7400;79,2552
120,0089;80,0981;0,9625;89,9000;0,7683;79,8138;89,9000;79,8138
159,6366;80,5246;0,9542;89,9300;0,7634;79,7103;89,9300;79,7103
202,9236;73,6964;1,1075;84,9900;0,9005;72,7793;84,9900;72,7793
39,2653;73,5837;1,1061;85,0300;0,8734;72,7724;85,0300;72,7724
81,6722;74,8400;1,0798;85,5000;0,8889;75,1586;85,5000;75,1586
121,7687;75,5021;1,0654;86,7600;0,8402;75,7448;86,7600;75,7448
163,1922;75,6822;1,0592;86,4100;0,8595;74,1931;86,4100;74,1931
203,7991;76,5984;1,0407;86,3700;0,8588;73,2276;86,3700;73,2276
245,8013;77,0885;1,0305;87,7800;0,8266;77,2897;87,7800;77,2897
