;config_10_avg
Standard_Acc;96,4600
RMSCE;0,0637
gaussian_noise;86,3180
shot_noise;88,9000
impulse_noise;88,5160
defocus_blur;93,5760
glass_blur;87,4400
motion_blur;90,7720
zoom_blur;92,1740
snow;91,8880
frost;92,6100
fog;93,9240
brightness;96,0140
contrast;94,3240
elastic_transform;90,9040
pixelate;89,0840
jpeg_compression;85,6300
speckle_noise;89,2780
gaussian_blur;92,2620
spatter;92,9860
saturate;94,9280
blue_noise;87,2840
brownish_noise;81,1860
checkerboard_cutout;87,6220
circular_motion_blur;92,7620
inverse_sparkles;77,6020
lines;79,9400
pinch_and_twirl;93,4120
ripple;86,5440
sparkles;87,9720
transverse_chromatic_abberation;80,8900
Acc_C-all-19;91,1331
Acc_C-original-15;90,8049
Acc_C-bar-10;85,5214
Acc_all-ex-pixelwise-noise-24;89,4352
RMSCE_C;0,0479
Combined_Noise;90,4300
