;config_531_avg
Standard_Acc;78,3100
RMSCE;0,1245
gaussian_noise;23,7940
shot_noise;32,3040
impulse_noise;28,8400
defocus_blur;60,8940
glass_blur;24,6900
motion_blur;55,1420
zoom_blur;55,1960
snow;57,0900
frost;51,6200
fog;65,1000
brightness;74,4920
contrast;56,3040
elastic_transform;62,0460
pixelate;53,2480
jpeg_compression;53,8160
speckle_noise;34,2980
gaussian_blur;51,7840
spatter;63,1380
saturate;65,3820
blue_noise;23,2440
brownish_noise;33,6780
checkerboard_cutout;55,4020
circular_motion_blur;66,6260
inverse_sparkles;30,7940
lines;48,8680
pinch_and_twirl;72,1540
ripple;53,4680
sparkles;57,2840
transverse_chromatic_abberation;32,1280
Acc_C-all-19;51,0094
Acc_C-original-15;50,3051
Acc_C-bar-10;47,3646
Acc_all-ex-pixelwise-noise-24;54,1810
RMSCE_C;0,3025
Combined_Noise;49,3500
