time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
56,5046;6,3240;4,3415;11,9900;3,9912;10,3172;11,9900;10,3172
114,0545;15,2000;3,8649;19,9000;3,7144;16,1793;19,9000;16,1793
169,8968;25,1480;3,4439;29,5900;3,2733;23,0414;29,5900;23,0414
226,9847;33,7440;3,1195;32,7900;3,2964;25,0207;32,7900;25,0207
284,0125;39,6540;2,8974;43,8700;2,7700;32,5241;43,8700;32,5241
341,9135;44,8880;2,7154;43,2900;2,8279;32,2897;43,2900;32,2897
398,6762;48,0920;2,6028;47,1900;2,6236;36,6207;47,1900;36,6207
457,0203;51,5840;2,4896;52,9800;2,3772;41,1793;52,9800;41,1793
514,9779;54,2240;2,4000;50,8000;2,4689;38,2000;50,8000;38,2000
572,3134;55,8400;2,3391;56,1000;2,2958;41,9241;56,1000;41,9241
629,0369;58,3020;2,2620;56,2900;2,2560;42,8414;56,2900;42,8414
685,5204;60,0720;2,2019;57,4800;2,2140;43,4069;57,4800;43,4069
742,3690;61,5900;2,1503;61,0700;2,1018;46,6690;61,0700;46,6690
800,5294;62,3820;2,1236;60,7700;2,0941;47,8483;60,7700;47,8483
857,8687;64,4060;2,0645;62,8900;2,0135;48,2690;62,8900;48,2690
915,3377;64,7700;2,0468;63,8800;1,9996;49,4552;63,8800;49,4552
973,1740;65,9220;2,0056;64,9700;1,9647;50,5931;64,9700;50,5931
1030,6616;66,9040;1,9797;65,5800;1,9434;51,3241;65,5800;51,3241
1089,2763;67,0880;1,9756;65,9600;1,9328;51,3379;65,9600;51,3379
1146,6620;67,8340;1,9530;65,9500;1,9301;51,5931;65,9500;51,5931
1203,9100;58,8540;2,2342;54,2300;2,3313;39,6759;54,2300;39,6759
1261,7510;58,7080;2,2417;53,7000;2,4062;39,0828;53,7000;39,0828
1318,9121;60,4340;2,1853;57,7200;2,2684;41,7586;57,7200;41,7586
1375,6247;60,7280;2,1733;58,5400;2,1972;44,1241;58,5400;44,1241
1432,0413;61,5100;2,1450;59,3000;2,1353;44,7310;59,3000;44,7310
1488,6727;62,7500;2,1077;59,4700;2,1375;44,6414;59,4700;44,6414
1545,8500;63,1120;2,0922;60,6600;2,1114;45,9310;60,6600;45,9310
1602,6209;64,1720;2,0572;60,0900;2,1356;45,0483;60,0900;45,0483
1659,8360;64,7560;2,0328;62,9600;2,0194;46,4690;62,9600;46,4690
1717,4613;65,5040;2,0127;62,2300;2,0712;48,2069;62,2300;48,2069
1775,5490;66,3920;1,9782;61,8600;2,0791;45,8483;61,8600;45,8483
1833,0435;67,1420;1,9597;64,2400;1,9841;48,8621;64,2400;48,8621
1890,8214;67,6620;1,9397;66,2100;1,9309;48,9379;66,2100;48,9379
