;config_3_avg;config_3_std;config_3_run_0;config_3_run_1;config_3_run_2
Standard_Acc;81,6100;0,2061;81,6500;81,3400;81,8400
RMSCE;0,0137;0,0025;0,0157;0,0101;0,0153
gaussian_noise;60,5960;0,3026;60,9020;60,1840;60,7020
shot_noise;64,3447;0,4035;64,6700;63,7760;64,5880
impulse_noise;65,9367;1,8159;67,0060;67,4240;63,3800
defocus_blur;76,9493;0,2491;76,8300;76,7220;77,2960
glass_blur;62,6280;0,2310;62,5560;62,9400;62,3880
motion_blur;72,1667;0,6888;72,2560;71,2820;72,9620
zoom_blur;74,3067;0,1981;74,1340;74,2020;74,5840
snow;71,5980;0,1994;71,4620;71,4520;71,8800
frost;72,0440;0,4350;72,4180;71,4340;72,2800
fog;75,0987;0,3077;74,9740;74,8000;75,5220
brightness;80,1493;0,1846;79,9280;80,1400;80,3800
contrast;76,5593;0,3637;76,0660;76,6800;76,9320
elastic_transform;71,8427;0,2546;71,4880;71,9660;72,0740
pixelate;68,4733;1,3641;70,3480;67,1420;67,9300
jpeg_compression;60,9527;1,2789;62,3580;59,2640;61,2360
speckle_noise;64,8220;0,2027;64,9480;64,5360;64,9820
gaussian_blur;74,9493;0,2509;74,6660;74,9060;75,2760
spatter;74,4027;0,0959;74,5260;74,3900;74,2920
saturate;75,7427;0,1094;75,6840;75,6480;75,8960
blue_noise;65,2073;0,8185;65,5040;66,0280;64,0900
brownish_noise;44,1167;0,3591;43,7280;44,0280;44,5940
checkerboard_cutout;67,0380;0,3277;67,4840;66,9240;66,7060
circular_motion_blur;76,1020;0,3348;75,6880;76,1100;76,5080
inverse_sparkles;44,9253;0,3984;44,3620;45,1960;45,2180
lines;54,2667;0,0913;54,3400;54,1380;54,3220
pinch_and_twirl;75,1287;0,1203;75,0580;75,2980;75,0300
ripple;64,7627;0,7086;65,6680;64,6820;63,9380
sparkles;67,1793;0,3537;66,7040;67,2820;67,5520
transverse_chromatic_abberation;54,1233;0,2704;53,9640;54,5040;53,9020
Acc_C-all-19;70,7138;0,1830;70,9063;70,4678;70,7674
Acc_C-original-15;70,2431;0,2186;70,4931;69,9605;70,2756
Acc_C-bar-10;61,2850;0,0983;61,2500;61,4190;61,1860
Acc_all-ex-pixelwise-noise-24;68,1461;0,1334;68,1954;67,9638;68,2791
RMSCE_C;0,0433;0,0026;0,0416;0,0414;0,0470
Combined_Noise;69,2100;0,2031;69,2600;68,9400;69,4300
