time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
36,8382;6,2825;4,3051;9,5500;4,1544;8,8276;9,5500;8,8276
70,9751;11,8625;4,0082;17,1000;3,7669;14,5517;17,1000;14,5517
105,0824;18,0350;3,7150;24,7400;3,4998;18,8621;24,7400;18,8621
138,6565;22,7875;3,4946;31,1000;3,1810;23,3103;31,1000;23,3103
172,0797;27,8100;3,2891;34,3600;3,1083;26,3448;34,3600;26,3448
206,0498;31,6075;3,1663;38,3500;2,8340;27,6552;38,3500;27,6552
239,5928;35,2075;3,0162;42,7900;2,7714;30,7241;42,7900;30,7241
272,6932;38,2050;2,9141;45,1500;2,6675;31,9655;45,1500;31,9655
306,8177;40,6425;2,8252;47,4300;2,6249;32,4828;47,4300;32,4828
341,6807;42,5050;2,7610;49,7400;2,5332;37,7931;49,7400;37,7931
376,3075;44,1625;2,6947;52,9100;2,3926;38,3448;52,9100;38,3448
410,2793;47,1025;2,6122;54,6200;2,3543;38,6207;54,6200;38,6207
443,5011;47,6675;2,5731;53,8200;2,3862;37,6552;53,8200;37,6552
477,4517;49,6500;2,5064;57,1300;2,3191;40,4828;57,1300;40,4828
511,1120;50,9000;2,4681;56,8100;2,2827;40,9655;56,8100;40,9655
545,1896;51,8300;2,4389;59,5000;2,1587;43,7931;59,5000;43,7931
579,5774;52,8675;2,3867;59,6300;2,1796;43,7241;59,6300;43,7241
613,8556;53,9200;2,3629;60,2200;2,1562;43,3793;60,2200;43,3793
648,5459;54,2250;2,3449;60,3500;2,1790;43,7586;60,3500;43,7586
682,1953;54,7000;2,3355;61,0000;2,1456;44,0345;61,0000;44,0345
715,4718;45,5200;2,6472;48,8500;2,6055;35,0345;48,8500;35,0345
750,7583;45,8025;2,6394;54,0400;2,3806;38,8276;54,0400;38,8276
784,7331;47,2175;2,6001;53,7600;2,4907;38,6552;53,7600;38,6552
819,5491;47,9500;2,5748;55,8200;2,3551;40,7241;55,8200;40,7241
