;config_480_avg
Standard_Acc;81,2500
RMSCE;0,0193
gaussian_noise;71,4260
shot_noise;73,8980
impulse_noise;80,4660
defocus_blur;75,6040
glass_blur;64,8840
motion_blur;71,6140
zoom_blur;73,0680
snow;72,6740
frost;73,2000
fog;74,5000
brightness;79,4880
contrast;74,5100
elastic_transform;72,6180
pixelate;70,5280
jpeg_compression;64,4500
speckle_noise;74,4660
gaussian_blur;72,4740
spatter;75,9440
saturate;75,6740
blue_noise;69,1060
brownish_noise;45,1340
checkerboard_cutout;68,6540
circular_motion_blur;75,3640
inverse_sparkles;48,1500
lines;60,0280
pinch_and_twirl;76,0240
ripple;66,7620
sparkles;68,5780
transverse_chromatic_abberation;48,9440
Acc_C-all-19;73,2361
Acc_C-original-15;72,8619
Acc_C-bar-10;62,6744
Acc_all-ex-pixelwise-noise-24;68,7028
RMSCE_C;0,0478
Combined_Noise;76,6700
