;config_12_avg
Standard_Acc;82,5800
RMSCE;0,0107
gaussian_noise;61,9840
shot_noise;65,6080
impulse_noise;67,7600
defocus_blur;78,0420
glass_blur;64,9020
motion_blur;72,1900
zoom_blur;75,0440
snow;72,6300
frost;72,7720
fog;75,7660
brightness;81,0640
contrast;77,3340
elastic_transform;72,5000
pixelate;64,1840
jpeg_compression;60,2720
speckle_noise;66,0140
gaussian_blur;76,3440
spatter;75,4400
saturate;76,5880
blue_noise;68,1560
brownish_noise;45,1260
checkerboard_cutout;69,3540
circular_motion_blur;76,2580
inverse_sparkles;46,4160
lines;56,8920
pinch_and_twirl;76,5360
ripple;63,8300
sparkles;68,9280
transverse_chromatic_abberation;52,8340
Acc_C-all-19;71,3915
Acc_C-original-15;70,8035
Acc_C-bar-10;62,4330
Acc_all-ex-pixelwise-noise-24;68,8019
RMSCE_C;0,0372
Combined_Noise;71,4600
