;Train-Train;Train-Test;Test-Test
non-zero images;50000,000000;10000,000000;10000,000000
Mean Distance;393,174011;396,181793;420,217743
Minimal Distance;0,000000;0,000000;0,000000
2nd;31,399759;59,434631;121,227196
3rd;31,685955;108,222527;146,433731
4th;31,685955;109,536026;146,433731
5th;31,870306;113,913437;147,806229
6th;31,870306;114,465599;149,434067
7th;33,466270;117,159348;149,434067
8th;33,466270;122,015312;153,015015
9th;36,156452;126,555801;155,807144
10th;36,156452;126,857826;156,202377
