;Train-Train;Train-Test;Test-Test
non-zero images;500,000000;500,000000;500,000000
Mean Distance;26491,529297;26710,343750;26817,136719
Minimal Distance;16538,365234;14640,330078;13442,999023
2nd;16538,365234;15020,849609;13442,999023
3rd;17352,605469;15048,235352;14021,321289
4th;18199,013672;15426,719727;16765,974609
5th;18199,013672;16961,888672;16765,974609
6th;18303,910156;16989,431641;17137,755859
7th;18664,962891;17143,958984;17137,755859
8th;18664,962891;17171,419922;18135,044922
9th;18692,974609;18471,607422;18556,603516
10th;18692,974609;18587,681641;18579,132812
