;Train-Train;Train-Test;Test-Test
non-zero images;126651,000000;4997,000000;5000,000000
Mean Distance;78,241707;78,479836;84,775520
Minimal Distance;0,062500;0,153093;34,314743
2th;0,062500;0,165359;34,314743
3th;0,088388;1,783168;35,338287
4th;0,088388;24,087706;35,874763
5th;0,088388;29,235516;37,758186
6th;0,088388;29,376064;39,925903
7th;0,088388;29,436546;41,543465
8th;0,088388;30,592073;41,543465
9th;0,088388;32,482792;42,771946
10th;0,088388;33,440605;42,771946
11th;0,088388;33,732288;43,307224
12th;0,088388;33,850544;43,307224
13th;0,088388;34,339642;43,773716
14th;0,088388;34,795216;44,008743
15th;0,088388;36,122406;44,008743
16th;0,088388;36,638222;44,610992
17th;0,125000;36,655739;44,610992
18th;0,125000;36,727673;45,040562
19th;0,125000;36,806904;45,040562
20th;0,125000;36,936230;45,319782
21th;0,125000;37,009499;45,319782
22th;0,125000;37,163280;45,431698
23th;0,125000;37,302502;45,680531
24th;0,125000;37,312031;45,680531
25th;0,153093;37,620018;45,721687
26th;0,153093;38,262253;45,865868
27th;0,153093;38,368382;45,983906
28th;0,153093;38,497463;46,233063
29th;0,176777;39,026283;46,233063
30th;0,176777;39,248608;46,295753
31th;0,176777;39,336079;46,295753
32th;0,176777;39,355103;46,387508
33th;0,176777;39,491199;47,447834
34th;0,176777;39,581699;47,447834
35th;0,176777;39,615139;47,471703
36th;0,176777;39,845207;47,501644
37th;0,176777;39,911793;47,585285
38th;0,176777;39,925026;47,625431
39th;0,176777;40,200668;47,656609
40th;0,176777;40,319378;47,714523
41th;0,207289;40,386173;47,970734
42th;0,207289;40,497433;47,983395
43th;0,216506;40,519360;48,143341
44th;0,216506;40,532444;48,325848
45th;0,216506;40,545547;48,332588
46th;0,216506;40,719986;48,413208
47th;0,265165;40,807476;48,465313
48th;0,265165;40,898914;48,501934
49th;0,279509;40,930485;48,501934
50th;0,279509;41,168705;48,791767
51th;0,414578;41,297485;48,795410
52th;0,414578;41,441269;48,819023
53th;0,718070;41,470058;48,819023
54th;0,718070;41,560669;48,866009
55th;0,901388;41,670536;48,866009
56th;0,901388;41,717148;49,079018
57th;1,096871;41,877937;49,079018
58th;1,096871;42,085480;49,232548
59th;1,373579;42,087566;49,277714
60th;1,373579;42,143635;49,330517
61th;1,563750;42,471405;49,435841
62th;1,563750;42,511623;49,521263
63th;1,899835;42,532936;49,575462
64th;1,899835;42,564083;49,777943
65th;2,399544;42,619732;49,777943
66th;2,399544;42,643967;49,855701
67th;2,828427;42,680866;49,896297
68th;2,828427;42,752651;49,896297
69th;3,111847;42,767540;50,161301
70th;3,111847;42,812546;50,171036
71th;3,471424;42,895596;50,283726
72th;3,471424;42,907787;50,310520
73th;4,071624;42,915524;50,323174
74th;4,071624;42,960419;50,355766
75th;6,040230;42,974556;50,503094
76th;6,040230;43,040951;50,621529
77th;6,418966;43,056511;50,704334
78th;6,418966;43,128803;50,712887
79th;6,524293;43,182659;50,751247
80th;6,524293;43,201561;50,826298
81th;10,804549;43,265350;50,887131
82th;10,804549;43,279613;50,962532
83th;10,859544;43,324223;51,001453
84th;10,859544;43,528008;51,005592
85th;11,329925;43,589527;51,011776
86th;11,329925;43,763214;51,030678
87th;12,019840;43,795612;51,037308
88th;12,019840;43,945038;51,069500
89th;12,212634;43,966206;51,205696
90th;12,212634;44,026447;51,348209
91th;12,214233;44,051506;51,452156
92th;12,214233;44,256069;51,964306
93th;12,982862;44,285736;52,066288
94th;12,982862;44,360474;52,102737
95th;13,318808;44,416794;52,164555
96th;13,318808;44,670147;52,164555
97th;14,512253;44,769634;52,193077
98th;14,512253;44,774960;52,261024
99th;18,975313;44,859806;52,273621
100th;20,741150;44,898338;52,287369
