;Train-Train;Train-Test;Test-Test
non-zero images;5984,000000;1497,000000;1497,000000
Mean Distance;214449,265625;214367,671875;251844,046875
Minimal Distance;9506,166016;9106,225586;9558,502930
2nd;9506,166016;9850,185547;9558,502930
3rd;9506,299805;9869,378906;10050,250000
4th;9506,299805;9869,959961;10294,147461
5th;9508,314453;9879,079102;10554,446289
6th;9508,314453;10164,861328;10610,060547
7th;9729,554688;10233,108398;10619,343750
8th;9740,703125;10490,409180;11250,095703
9th;9794,930664;10939,899414;11884,185547
10th;9907,908203;11260,313477;12460,363281
