;Train-Train;Train-Test;Test-Test
non-zero images;289,000000;290,000000;290,000000
Mean Distance;278705,500000;286281,843750;285024,343750
Minimal Distance;142820,656250;180641,781250;159700,906250
2nd;142820,656250;181232,312500;159700,906250
3rd;169193,453125;185289,640625;171904,265625
4th;169193,453125;187464,484375;171904,265625
5th;179651,984375;189499,625000;180102,171875
6th;184505,234375;189609,390625;180102,171875
7th;188265,171875;191434,328125;182146,265625
8th;188542,859375;194248,906250;182758,546875
9th;188542,859375;198197,890625;184518,062500
10th;191701,656250;200584,093750;188346,671875
