;Train-Train;Train-Test;Test-Test
non-zero images;294912,000000;32768,000000;32768,000000
Mean Distance;31,805037;32,000000;33,849468
Minimal Distance;0,872765;1,128467;3,446579
2th;0,872765;1,154137;3,446579
3th;0,883883;1,203835;3,464102
4th;0,910014;1,210307;3,470861
5th;0,910014;1,232693;3,562500
6th;0,910014;1,256234;3,736434
7th;0,951972;1,306534;3,879030
8th;0,951972;1,344840;3,907625
9th;0,951972;1,472402;4,178628
10th;0,954021;1,532206;4,233424
11th;0,954021;1,564998;4,343637
12th;0,970261;1,606870;4,349030
13th;0,970261;1,645306;4,437500
14th;0,972272;1,646492;4,569344
15th;0,978280;1,670049;4,575325
16th;0,984251;1,733178;4,649429
17th;0,996086;1,755571;4,703307
18th;0,996086;1,760016;4,707872
19th;1,001951;1,792999;4,710775
20th;1,001951;1,798437;4,779513
21th;1,005842;1,831794;4,894193
22th;1,011651;1,843485;4,934334
23th;1,011651;1,894688;4,975330
24th;1,011651;1,903943;5,010536
25th;1,023169;1,986281;5,129190
26th;1,023169;2,063447;5,181472
27th;1,025076;2,126837;5,201787
28th;1,043956;2,177656;5,222398
29th;1,047691;2,208825;5,235098
30th;1,058817;2,229945;5,344755
31th;1,064337;2,354351;5,349138
32th;1,066170;2,390574;5,355342
33th;1,069828;2,439903;5,413020
34th;1,073473;2,466177;5,564606
35th;1,078917;2,474084;5,628124
36th;1,082532;2,478029;5,632287
37th;1,082532;2,551041;5,650636
38th;1,084334;2,551041;5,677533
39th;1,087931;2,554102;5,738099
40th;1,098650;2,588285;5,799717
41th;1,107503;2,617549;5,822572
42th;1,111024;2,647965;5,947689
43th;1,133647;2,678765;5,960482
44th;1,133647;2,813889;5,964740
45th;1,135369;2,862063;5,969650
46th;1,135369;2,930844;6,003905
47th;1,137088;2,977126;6,004881
48th;1,140518;2,992830;6,047662
49th;1,145644;3,020115;6,138696
50th;1,149049;3,021408;6,141559
51th;1,152443;3,037526;6,178971
52th;1,155828;3,080939;6,197908
53th;1,159202;3,131244;6,214273
54th;1,159202;3,177681;6,234669
55th;1,164246;3,192398;6,283970
56th;1,165922;3,199731;6,285524
57th;1,165922;3,213740;6,303211
58th;1,175931;3,217384;6,318994
59th;1,219951;3,221025;6,335971
60th;1,224745;3,259002;6,399768
61th;1,229520;3,375579;6,428088
62th;1,234276;3,413553;6,486765
63th;1,234276;3,453372;6,525192
64th;1,237437;3,539399;6,526688
65th;1,240590;3,553717;6,535062
66th;1,242163;3,558660;6,574097
67th;1,242163;3,566336;6,586563
68th;1,243734;3,572901;6,608766
69th;1,243734;3,613127;6,655590
70th;1,245304;3,713889;6,657937
71th;1,245304;3,745831;6,659697
72th;1,245304;3,752083;6,671125
73th;1,248437;3,759883;6,677563
74th;1,250000;3,837011;6,690420
75th;1,251562;3,875504;6,715188
76th;1,256234;3,917608;6,737546
77th;1,260890;3,979930;6,738126
78th;1,270150;4,004392;6,759253
79th;1,270150;4,011702;6,773685
80th;1,276286;4,021427;6,788375
81th;1,279343;4,045155;6,794702
82th;1,282393;4,046121;6,811640
83th;1,282393;4,085512;6,815080
84th;1,285435;4,085512;6,823100
85th;1,286954;4,150019;6,882099
86th;1,288471;4,195422;6,901653
87th;1,306534;4,251379;6,945097
88th;1,308028;4,256429;6,968960
89th;1,311011;4,276571;6,999163
90th;1,316957;4,297074;7,027290
91th;1,316957;4,318384;7,029514
92th;1,316957;4,357106;7,038677
93th;1,321398;4,384810;7,067200
94th;1,327298;4,391932;7,089274
95th;1,330237;4,416765;7,090101
96th;1,330237;4,429570;7,095333
97th;1,331705;4,456386;7,106335
98th;1,343387;4,488701;7,122807
99th;1,346291;4,500868;7,125823
100th;1,347741;4,513002;7,136777
