;Train-Train;Train-Test;Test-Test
non-zero images;294912,000000;32768,000000;32768,000000
Mean Distance;0,585750;0,591253;0,686944
Minimal Distance;0,019608;0,031373;0,443137
2th;0,019608;0,031373;0,443137
3th;0,019608;0,031373;0,454902
4th;0,019608;0,035294;0,454902
5th;0,019608;0,039216;0,458824
6th;0,023529;0,043137;0,458824
7th;0,023529;0,043137;0,458824
8th;0,023529;0,043137;0,458824
9th;0,023529;0,047059;0,462745
10th;0,023529;0,047059;0,466667
11th;0,023529;0,047059;0,466667
12th;0,023529;0,050980;0,466667
13th;0,023529;0,050980;0,466667
14th;0,023529;0,050980;0,466667
15th;0,023529;0,050980;0,466667
16th;0,023529;0,050980;0,470588
17th;0,023529;0,050980;0,470588
18th;0,023529;0,050980;0,470588
19th;0,023529;0,054902;0,470588
20th;0,027451;0,054902;0,470588
21th;0,027451;0,054902;0,474510
22th;0,027451;0,058824;0,474510
23th;0,027451;0,058824;0,474510
24th;0,027451;0,062745;0,474510
25th;0,027451;0,062745;0,474510
26th;0,027451;0,066667;0,474510
27th;0,027451;0,066667;0,474510
28th;0,027451;0,066667;0,478431
29th;0,027451;0,070588;0,478431
30th;0,027451;0,070588;0,478431
31th;0,027451;0,074510;0,478431
32th;0,027451;0,078431;0,478431
33th;0,027451;0,082353;0,478431
34th;0,027451;0,086275;0,482353
35th;0,027451;0,086275;0,482353
36th;0,027451;0,090196;0,482353
37th;0,031373;0,090196;0,482353
38th;0,031373;0,094118;0,482353
39th;0,031373;0,094118;0,482353
40th;0,031373;0,094118;0,482353
41th;0,031373;0,094118;0,486275
42th;0,031373;0,098039;0,486275
43th;0,031373;0,101961;0,486275
44th;0,031373;0,105882;0,486275
45th;0,031373;0,109804;0,486275
46th;0,031373;0,109804;0,486275
47th;0,031373;0,109804;0,486275
48th;0,031373;0,113725;0,486275
49th;0,031373;0,113726;0,490196
50th;0,031373;0,129412;0,490196
51th;0,031373;0,129412;0,490196
52th;0,031373;0,137255;0,490196
53th;0,031373;0,137255;0,490196
54th;0,031373;0,141177;0,490196
55th;0,031373;0,141177;0,490196
56th;0,031373;0,141177;0,490196
57th;0,035294;0,145098;0,490196
58th;0,035294;0,145098;0,490196
59th;0,035294;0,145098;0,490196
60th;0,035294;0,145098;0,490196
61th;0,035294;0,145098;0,490196
62th;0,035294;0,145098;0,490196
63th;0,035294;0,145098;0,490196
64th;0,035294;0,145098;0,490196
65th;0,035294;0,145098;0,490196
66th;0,035294;0,145098;0,494118
67th;0,035294;0,145098;0,494118
68th;0,035294;0,149020;0,494118
69th;0,035294;0,149020;0,494118
70th;0,035294;0,149020;0,494118
71th;0,035294;0,149020;0,494118
72th;0,035294;0,149020;0,494118
73th;0,035294;0,149020;0,494118
74th;0,035294;0,149020;0,494118
75th;0,035294;0,152941;0,494118
76th;0,035294;0,152941;0,494118
77th;0,039216;0,152941;0,494118
78th;0,039216;0,152941;0,494118
79th;0,039216;0,156863;0,494118
80th;0,039216;0,156863;0,494118
81th;0,039216;0,156863;0,494118
82th;0,039216;0,156863;0,494118
83th;0,039216;0,156863;0,494118
84th;0,039216;0,156863;0,494118
85th;0,039216;0,156863;0,494118
86th;0,039216;0,156863;0,494118
87th;0,039216;0,156863;0,494118
88th;0,039216;0,164706;0,494118
89th;0,039216;0,164706;0,494118
90th;0,039216;0,164706;0,498039
91th;0,039216;0,164706;0,498039
92th;0,039216;0,164706;0,498039
93th;0,039216;0,168628;0,498039
94th;0,043137;0,168628;0,498039
95th;0,043137;0,172549;0,498039
96th;0,043137;0,172549;0,498039
97th;0,043137;0,176471;0,498039
98th;0,043137;0,176471;0,498039
99th;0,043137;0,184314;0,498039
100th;0,043137;0,184314;0,498039
