;Train-Train;Train-Test;Test-Test
non-zero images;80000,000000;20000,000000;20000,000000
Mean Distance;8,487497;8,481606;8,853158
Minimal Distance;0,837943;1,253511;1,570293
2nd;0,837943;1,359644;1,570293
3rd;1,106179;1,382084;1,574640
4th;1,106179;1,396494;1,579285
5th;1,185030;1,424191;1,579285
6th;1,189144;1,434780;1,589455
7th;1,189144;1,454049;1,589455
8th;1,203024;1,460415;1,675012
9th;1,230314;1,506496;1,690680
10th;1,255457;1,537614;1,690680
11th;1,277051;1,572158;1,693854
12th;1,277051;1,574640;1,714768
13th;1,316957;1,578666;1,732615
14th;1,322137;1,580521;1,765279
15th;1,322137;1,581756;1,765279
16th;1,341568;1,596505;1,782894
17th;1,341568;1,604437;1,783715
18th;1,343387;1,615356;1,783715
19th;1,348828;1,615960;1,801150
20th;1,349190;1,619884;1,822708
