;Train-Train;Train-Test;Test-Test
non-zero images;80000,000000;20000,000000;20000,000000
Mean Distance;0,328004;0,327681;0,348987
Minimal Distance;0,066396;0,091766;0,121535
2th;0,066396;0,106466;0,121535
3th;0,076810;0,109980;0,123261
4th;0,081102;0,114355;0,123261
5th;0,082421;0,114786;0,123697
6th;0,083319;0,115272;0,123697
7th;0,085903;0,116161;0,124101
8th;0,086533;0,116295;0,124389
9th;0,088079;0,116301;0,127923
10th;0,089616;0,116325;0,127923
11th;0,092161;0,117665;0,128283
12th;0,093454;0,118259;0,128283
13th;0,093746;0,118553;0,129072
14th;0,094760;0,119430;0,129101
15th;0,095596;0,119474;0,129101
16th;0,095927;0,120084;0,129101
17th;0,095927;0,120188;0,129101
18th;0,097311;0,120443;0,129101
19th;0,099615;0,120586;0,129101
20th;0,099615;0,121075;0,129479
21th;0,100604;0,121659;0,131255
22th;0,102738;0,121707;0,131510
23th;0,103542;0,121938;0,132134
24th;0,103876;0,122346;0,132134
25th;0,104219;0,122668;0,132321
26th;0,104219;0,123124;0,132321
27th;0,104219;0,123252;0,132468
28th;0,105551;0,123429;0,132731
29th;0,105829;0,123500;0,132731
30th;0,105829;0,123640;0,132894
31th;0,105950;0,123697;0,132897
32th;0,106536;0,124003;0,133195
33th;0,106761;0,124137;0,133333
34th;0,107164;0,124157;0,133333
35th;0,107177;0,124243;0,133916
36th;0,107730;0,124262;0,133965
37th;0,107730;0,124396;0,134125
38th;0,108233;0,124555;0,134336
39th;0,108848;0,124833;0,134421
40th;0,108848;0,125533;0,135080
41th;0,109964;0,125587;0,135315
42th;0,109980;0,125794;0,135465
43th;0,110379;0,125840;0,135491
44th;0,110485;0,126143;0,135631
45th;0,110568;0,126903;0,136148
46th;0,110568;0,126976;0,136242
47th;0,110884;0,127236;0,136414
48th;0,110884;0,128131;0,136415
49th;0,111992;0,128236;0,136741
50th;0,112998;0,128286;0,136958
51th;0,113513;0,128514;0,137585
52th;0,113552;0,128729;0,137651
53th;0,113877;0,128790;0,137799
54th;0,114038;0,128954;0,137869
55th;0,114601;0,129070;0,137869
56th;0,114601;0,129101;0,138196
57th;0,114746;0,129272;0,138396
58th;0,114746;0,129272;0,138420
59th;0,114976;0,129360;0,138632
60th;0,115010;0,129482;0,138632
61th;0,115010;0,129699;0,138684
62th;0,115010;0,130209;0,138810
63th;0,115037;0,130264;0,138828
64th;0,115255;0,130306;0,139122
65th;0,115544;0,130313;0,139122
66th;0,115652;0,130579;0,139183
67th;0,115656;0,130731;0,139583
68th;0,115821;0,130870;0,139611
69th;0,115821;0,130978;0,139611
70th;0,115907;0,131434;0,139629
71th;0,116000;0,131549;0,139711
72th;0,116000;0,131818;0,139751
73th;0,116394;0,132017;0,139751
74th;0,116429;0,132114;0,139871
75th;0,116612;0,132327;0,140152
76th;0,116699;0,132353;0,140587
77th;0,116753;0,132428;0,140587
78th;0,116836;0,132429;0,140595
79th;0,116861;0,132553;0,140884
80th;0,116925;0,132897;0,140884
81th;0,117008;0,133143;0,140971
82th;0,117103;0,133198;0,141041
83th;0,117105;0,133264;0,141348
84th;0,117684;0,133333;0,141455
85th;0,117807;0,133407;0,141487
86th;0,117849;0,133469;0,141561
87th;0,118291;0,133474;0,141616
88th;0,118467;0,133509;0,142073
89th;0,118688;0,133526;0,142259
90th;0,118753;0,133577;0,142370
91th;0,118753;0,133585;0,142389
92th;0,119012;0,133585;0,142765
93th;0,119215;0,133585;0,142948
94th;0,119375;0,133585;0,142948
95th;0,119651;0,133585;0,143124
96th;0,119764;0,133593;0,143157
97th;0,119946;0,133593;0,143668
98th;0,119995;0,133638;0,143872
99th;0,120158;0,133704;0,143881
100th;0,120261;0,133741;0,143987
