time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
80,3540;9,2600;4,5434;14,6600;4,1668;7,7586;14,6600;7,7586
159,8251;22,9320;3,7419;23,3600;3,7736;10,7724;23,3600;10,7724
238,1325;30,9110;3,3790;29,6100;3,4760;13,0414;29,6100;13,0414
314,9334;36,5320;3,1579;33,3300;3,3167;12,5931;33,3300;12,5931
389,4212;40,5900;2,9941;36,8600;3,1744;16,0345;36,8600;16,0345
468,5745;43,8270;2,8573;38,6800;3,1236;13,9586;38,6800;13,9586
545,3657;46,3480;2,7599;41,4700;3,0009;14,6966;41,4700;14,6966
629,2756;49,0070;2,6614;43,6600;2,9087;18,0966;43,6600;18,0966
702,7832;51,2280;2,5839;48,2400;2,7086;19,1793;48,2400;19,1793
781,0461;53,4680;2,4985;48,4500;2,7079;18,4966;48,4500;18,4966
854,2173;54,7610;2,4468;50,6800;2,6518;19,1724;50,6800;19,1724
935,6449;56,7080;2,3800;50,9400;2,6298;20,2414;50,9400;20,2414
1012,6752;58,3730;2,3174;53,8000;2,5087;21,1793;53,8000;21,1793
1093,0249;59,8630;2,2676;53,9800;2,5039;20,3586;53,9800;20,3586
1165,8734;61,2260;2,2201;56,3900;2,4351;21,5517;56,3900;21,5517
1244,5681;62,3690;2,1789;57,0400;2,4111;21,7379;57,0400;21,7379
1322,3157;63,5460;2,1397;57,8000;2,3677;22,6621;57,8000;22,6621
1401,4649;64,4990;2,1044;58,5000;2,3450;22,4207;58,5000;22,4207
1478,0365;64,7810;2,0954;59,0900;2,3311;23,3310;59,0900;23,3310
1551,0644;65,0890;2,0836;59,1200;2,3270;23,3655;59,1200;23,3655
1627,5818;53,9280;2,4619;46,7500;2,7825;17,4759;46,7500;17,4759
1707,4622;54,3190;2,4585;47,4300;2,7294;20,6414;47,4300;20,6414
1787,2358;54,9670;2,4304;47,7100;2,7132;17,7517;47,7100;17,7517
1862,8410;56,0440;2,3963;49,1200;2,7096;20,8207;49,1200;20,8207
1940,8164;56,6350;2,3653;49,3900;2,6664;21,3310;49,3900;21,3310
2019,2591;57,7120;2,3283;50,5300;2,6372;20,3586;50,5300;20,3586
2101,9537;58,9570;2,2949;52,3700;2,5818;19,6345;52,3700;19,6345
2179,0253;59,5000;2,2636;52,9100;2,5874;20,9103;52,9100;20,9103
2259,3677;60,2330;2,2366;52,5500;2,5360;18,6414;52,5500;18,6414
2337,6075;60,6250;2,2226;53,4100;2,5383;22,7379;53,4100;22,7379
2416,8724;61,8830;2,1841;55,0800;2,4677;21,2483;55,0800;21,2483
2493,3434;62,4120;2,1608;55,2800;2,4550;21,7103;55,2800;21,7103
2576,9788;63,2950;2,1303;54,7000;2,4819;20,9310;54,7000;20,9310
2653,9025;63,9600;2,1019;57,1900;2,4020;22,5655;57,1900;22,5655
2726,3796;64,6010;2,0786;55,8600;2,4372;22,9103;55,8600;22,9103
2800,6152;65,5710;2,0506;58,1400;2,3610;23,3379;58,1400;23,3379
2878,4939;66,0630;2,0300;58,1600;2,3597;23,4621;58,1600;23,4621
2955,3241;66,8060;2,0017;58,2500;2,3582;21,1103;58,2500;21,1103
3028,4935;67,4440;1,9797;59,6200;2,3121;23,4897;59,6200;23,4897
3102,0535;68,2690;1,9506;60,6200;2,2647;24,2621;60,6200;24,2621
3176,2037;68,9840;1,9254;60,7300;2,2487;24,7172;60,7300;24,7172
3250,5131;69,7420;1,8975;60,8800;2,2474;23,8138;60,8800;23,8138
3321,4481;70,3340;1,8749;61,9400;2,2259;24,3586;61,9400;24,3586
3393,9304;71,1370;1,8495;62,3200;2,2174;25,0621;62,3200;25,0621
3466,6659;71,8170;1,8267;62,6000;2,1981;24,6897;62,6000;24,6897
3544,7896;72,8690;1,7963;63,3100;2,1862;26,0690;63,3100;26,0690
