;config_537_avg
Standard_Acc;72,3200
RMSCE;0,0757
gaussian_noise;19,5620
shot_noise;24,5640
impulse_noise;25,9440
defocus_blur;18,8080
glass_blur;18,6920
motion_blur;27,2880
zoom_blur;21,9740
snow;35,0740
frost;38,7560
fog;37,0940
brightness;50,5360
contrast;18,5740
elastic_transform;34,0320
pixelate;45,5080
jpeg_compression;42,1300
speckle_noise;18,3300
gaussian_blur;20,2660
spatter;44,1540
saturate;44,7280
blue_noise_sample;42,0480
brownish_noise;48,3620
caustic_refraction;30,8800
checkerboard_cutout;43,6580
cocentric_sine_waves;24,8220
inverse_sparkles;27,1100
perlin_noise;53,9020
plasma_noise;22,2900
single_frequency_greyscale;20,3840
sparkles;63,1480
Acc_C-all-19;30,8428
Acc_C-original-15;30,5691
Acc_C-bar-10;37,6604
Acc_all-ex-pixelwise-noise-24;34,6737
RMSCE_C;0,2738
Combined_Noise;51,5800
