time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
73,3691;9,1260;4,5940;13,9000;4,2827;6,8897;13,9000;6,8897
149,1724;22,1640;3,8090;22,6900;3,8497;8,8897;22,6900;8,8897
225,7017;30,6870;3,4191;27,1700;3,6386;11,1793;27,1700;11,1793
297,4778;36,6720;3,1763;32,6600;3,4125;12,1586;32,6600;12,1586
369,6568;41,0910;2,9986;36,3500;3,2766;12,7655;36,3500;12,7655
441,9104;44,6480;2,8543;40,2700;3,0904;12,6552;40,2700;12,6552
509,1799;47,5200;2,7469;40,7400;3,0318;14,6759;40,7400;14,6759
575,4810;50,6050;2,6430;43,7700;2,9403;15,9517;43,7700;15,9517
646,4248;52,7720;2,5591;47,4800;2,7844;19,0345;47,4800;19,0345
715,1324;55,4580;2,4706;48,7100;2,7326;17,3034;48,7100;17,3034
784,2805;56,9730;2,4099;49,7900;2,7164;19,6483;49,7900;19,6483
864,4090;58,8570;2,3442;51,6400;2,6491;19,3379;51,6400;19,3379
951,8801;60,7170;2,2821;53,3300;2,5563;19,0897;53,3300;19,0897
1031,6651;62,4350;2,2264;56,0500;2,4875;20,1517;56,0500;20,1517
1100,5582;63,6090;2,1833;56,9900;2,4524;21,4345;56,9900;21,4345
1175,6565;64,9340;2,1392;58,3700;2,3986;20,6897;58,3700;20,6897
1248,7317;65,9030;2,1015;59,3000;2,3603;21,2207;59,3000;21,2207
1315,9438;67,1200;2,0700;60,5600;2,3366;21,8000;60,5600;21,8000
1383,4227;67,4720;2,0577;60,8300;2,3247;22,3379;60,8300;22,3379
1452,3077;67,7600;2,0453;60,9400;2,3159;22,6069;60,9400;22,6069
1530,9484;56,7400;2,4058;45,1300;2,8889;18,2000;45,1300;18,2000
1604,0221;56,9860;2,3988;47,4800;2,7995;17,3241;47,4800;17,3241
1679,5445;57,9190;2,3669;48,3000;2,7606;18,6483;48,3000;18,6483
1750,9922;58,9460;2,3314;49,8400;2,7404;17,8552;49,8400;17,8552
1816,1816;60,0040;2,2965;51,3200;2,6549;19,2207;51,3200;19,2207
1885,2788;61,2050;2,2596;52,0700;2,6320;19,8414;52,0700;19,8414
1959,6694;62,0530;2,2292;52,6300;2,6083;18,7103;52,6300;18,7103
