;config_541_avg
Standard_Acc;76,0400
RMSCE;0,0475
gaussian_noise;28,7140
shot_noise;35,4620
impulse_noise;30,0280
defocus_blur;40,6620
glass_blur;34,2560
motion_blur;51,5520
zoom_blur;48,4820
snow;49,6480
frost;54,0180
fog;54,9740
brightness;62,1720
contrast;41,0740
elastic_transform;57,7380
pixelate;57,9180
jpeg_compression;58,6840
speckle_noise;27,8760
gaussian_blur;43,2740
spatter;50,4280
saturate;57,8480
blue_noise_sample;50,2460
brownish_noise;55,6920
caustic_refraction;37,4680
checkerboard_cutout;46,4080
cocentric_sine_waves;30,9680
inverse_sparkles;31,1460
perlin_noise;64,6500
plasma_noise;28,2900
single_frequency_greyscale;25,9960
sparkles;67,5360
Acc_C-all-19;46,5688
Acc_C-original-15;47,0255
Acc_C-bar-10;43,8400
Acc_all-ex-pixelwise-noise-24;47,9534
RMSCE_C;0,0932
Combined_Noise;70,2100
