;config_127_avg
Standard_Acc;59,2700
RMSCE;0,0633
gaussian_noise;39,5000
shot_noise;38,3000
impulse_noise;34,7000
defocus_blur;34,6000
glass_blur;24,3000
motion_blur;46,1000
zoom_blur;35,5000
snow;48,1000
frost;52,0000
fog;48,0000
brightness;49,7000
contrast;24,6000
elastic_transform;50,3000
pixelate;55,2000
jpeg_compression;53,3000
speckle_noise;32,1000
gaussian_blur;25,0000
spatter;46,5000
saturate;43,2000
blue_noise_sample;33,2000
brownish_noise;38,5000
caustic_refraction;29,6000
checkerboard_cutout;32,1000
cocentric_sine_waves;32,4000
inverse_sparkles;24,9000
perlin_noise;47,7000
plasma_noise;19,7000
single_frequency_greyscale;27,5000
sparkles;51,1000
Acc_C-all-19;41,1053
Acc_C-original-15;42,2800
Acc_C-bar-10;33,6700
Acc_all-ex-pixelwise-noise-24;39,1625
RMSCE_C;0,1718
Combined_Noise;51,7700
