;config_325_avg;config_325_std;config_325_run_0;config_325_run_1;config_325_run_2
Standard_Acc;65,7233;0,2724;66,0250;65,3650;65,7800
RMSCE;0,0615;0,0027;0,0651;0,0607;0,0586
gaussian_noise;46,5000;3,0692;50,4000;42,9000;46,2000
shot_noise;49,0667;0,1247;49,2000;48,9000;49,1000
impulse_noise;46,0000;2,0396;48,0000;46,8000;43,2000
defocus_blur;45,7333;1,6540;48,0000;45,1000;44,1000
glass_blur;34,5000;0,3742;34,9000;34,6000;34,0000
motion_blur;53,4667;0,6128;53,5000;54,2000;52,7000
zoom_blur;46,0000;0,7118;46,4000;46,6000;45,0000
snow;54,6333;0,8340;55,8000;53,9000;54,2000
frost;58,5000;0,5657;58,9000;57,7000;58,9000
fog;57,3667;2,1297;59,3000;54,4000;58,4000
brightness;58,7667;0,7587;58,5000;58,0000;59,8000
contrast;46,7000;1,7146;44,6000;46,7000;48,8000
elastic_transform;55,8667;2,4499;58,9000;55,8000;52,9000
pixelate;59,1667;2,8593;62,6000;55,6000;59,3000
jpeg_compression;58,9000;0,9626;59,9000;59,2000;57,6000
speckle_noise;46,3333;0,8994;45,8000;47,6000;45,6000
gaussian_blur;41,7333;0,8179;42,5000;40,6000;42,1000
spatter;54,5333;1,3021;55,3000;52,7000;55,6000
saturate;54,7667;0,7364;53,9000;55,7000;54,7000
blue_noise_sample;44,1000;1,9647;41,6000;44,3000;46,4000
brownish_noise;48,0000;1,5937;46,1000;47,9000;50,0000
caustic_refraction;32,7333;0,5185;32,0000;33,1000;33,1000
checkerboard_cutout;42,6667;2,1638;40,0000;45,3000;42,7000
cocentric_sine_waves;27,8000;0,6976;27,9000;26,9000;28,6000
inverse_sparkles;27,2333;0,5558;28,0000;26,7000;27,0000
perlin_noise;54,7333;0,6799;55,0000;53,8000;55,4000
plasma_noise;29,6333;1,3021;29,2000;28,3000;31,4000
single_frequency_greyscale;25,8000;0,9274;25,3000;27,1000;25,0000
sparkles;56,3333;2,0418;59,2000;54,6000;55,2000
Acc_C-all-19;50,9754;0,6743;51,9158;50,3684;50,6421
Acc_C-original-15;51,4111;0,8423;52,5933;50,6933;50,9467
Acc_C-bar-10;38,9033;0,4348;38,4300;38,8000;39,4800
Acc_all-ex-pixelwise-noise-24;46,8986;0,3617;47,3208;46,4375;46,9375
RMSCE_C;0,1474;0,0010;0,1482;0,1480;0,1461
Combined_Noise;60,6367;0,5136;61,1500;59,9350;60,8250
