time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
68,8612;6,3760;4,8032;11,6800;4,3330;5,7103;11,6800;5,7103
141,0859;14,7230;4,2481;18,8700;3,9688;8,2207;18,8700;8,2207
216,2969;20,7550;3,9355;25,7300;3,6605;10,8966;25,7300;10,8966
294,0510;25,4130;3,7129;28,0800;3,6216;11,3586;28,0800;11,3586
371,7245;29,2100;3,5435;33,3100;3,4208;13,7931;33,3100;13,7931
450,3616;32,7600;3,4042;35,4400;3,3390;15,6207;35,4400;15,6207
529,1104;35,2840;3,2870;38,3900;3,2534;16,6276;38,3900;16,6276
608,5432;37,8200;3,1848;38,6000;3,2805;17,9793;38,6000;17,9793
687,9759;40,0220;3,0952;41,3500;3,1911;18,5310;41,3500;18,5310
765,9366;42,0330;3,0147;43,5200;3,1251;17,9448;43,5200;17,9448
845,4715;43,7490;2,9425;45,2600;3,0713;20,2621;45,2600;20,2621
924,3555;45,7190;2,8673;46,5300;3,0270;21,3586;46,5300;21,3586
1002,1503;47,4870;2,7991;46,9400;3,0359;22,4345;46,9400;22,4345
1081,0307;49,1400;2,7393;49,6100;2,9082;24,7931;49,6100;24,7931
1160,2413;50,8430;2,6767;50,0500;2,9030;23,7379;50,0500;23,7379
1238,0307;52,1050;2,6304;51,3000;2,8670;24,4690;51,3000;24,4690
1316,5035;53,3930;2,5856;51,9100;2,8508;25,0621;51,9100;25,0621
1395,2978;53,9600;2,5571;51,7900;2,8634;25,5931;51,7900;25,5931
1472,7227;55,1140;2,5279;52,3400;2,8371;26,2621;52,3400;26,2621
1540,1249;55,2600;2,5140;52,6600;2,8350;26,5448;52,6600;26,5448
1608,1114;43,4480;2,9542;44,4700;3,0451;20,3586;44,4700;20,3586
1675,4909;43,8860;2,9364;45,0400;3,0388;19,9379;45,0400;19,9379
1742,6404;45,1080;2,8944;45,1800;2,9947;21,6276;45,1800;21,6276
