time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
114,0067;4,1710;4,9704;10,1900;4,4667;5,9034;10,1900;5,9034
219,1500;10,1580;4,5473;14,4800;4,2661;8,3793;14,4800;8,3793
112,7402;14,9372;4,2708;20,1900;3,9752;10,0069;20,1900;10,0069
91,3478;19,7780;4,0077;25,9000;3,7443;13,2414;25,9000;13,2414
94,9832;23,9514;3,7987;29,7900;3,5143;13,0621;29,7900;13,0621
95,1705;25,3719;3,7514;32,7300;3,4249;15,0069;32,7300;15,0069
195,0668;27,6016;3,6385;33,2800;3,3885;15,2828;33,2800;15,2828
100,3977;30,1135;3,5355;36,8500;3,2301;15,7172;36,8500;15,7172
194,4191;31,6656;3,4662;39,0000;3,1700;18,6138;39,0000;18,6138
82,9151;34,7537;3,3232;41,0700;3,0483;18,5310;41,0700;18,5310
166,0840;36,5157;3,2453;41,6700;3,0793;18,3724;41,6700;18,3724
246,4790;37,7091;3,1915;44,5500;2,9996;20,1103;44,5500;20,1103
330,1672;39,1502;3,1317;46,3300;2,9179;21,8690;46,3300;21,8690
417,8413;40,6143;3,0758;47,9000;2,8390;21,8621;47,9000;21,8621
502,5791;41,9150;3,0276;48,3300;2,8553;23,4897;48,3300;23,4897
588,7591;43,0152;2,9795;50,4100;2,7742;24,6897;50,4100;24,6897
670,2347;43,8836;2,9439;49,9900;2,7809;23,4690;49,9900;23,4690
758,4485;44,5515;2,9237;50,6100;2,7521;24,1586;50,6100;24,1586
841,0550;45,0901;2,9002;51,6400;2,7123;24,4897;51,6400;24,4897
924,4624;45,4561;2,8849;51,6900;2,7172;24,7034;51,6900;24,7034
75,9179;36,8010;3,2206;41,4500;3,0959;21,1517;41,4500;21,1517
152,6788;37,3670;3,2007;41,9100;3,0545;18,6690;41,9100;18,6690
231,1898;38,1520;3,1598;44,6600;2,9649;19,6690;44,6600;19,6690
310,0351;39,1970;3,1260;46,2200;2,8934;20,5034;46,2200;20,5034
386,7132;40,3200;3,0786;47,4700;2,8506;23,5448;47,4700;23,5448
466,6516;41,2900;3,0461;48,0400;2,8063;22,7379;48,0400;22,7379
85,3626;41,4969;3,0444;47,2600;2,8262;20,6966;47,2600;20,6966
87,6832;42,0478;3,0141;48,6600;2,8565;23,5379;48,6600;23,5379
171,9709;42,8273;2,9870;50,2500;2,8029;24,2828;50,2500;24,2828
255,5398;43,4016;2,9590;52,3300;2,6585;25,3448;52,3300;25,3448
341,7065;44,1681;2,9300;52,5300;2,6747;25,8690;52,5300;25,8690
71,8582;46,7854;2,8170;52,4600;2,6995;26,3379;52,4600;26,3379
87,0783;45,6339;2,8606;52,1800;2,6795;25,5310;52,1800;25,5310
170,3642;46,5595;2,8353;53,3100;2,6146;27,3862;53,3100;27,3862
252,6192;47,2559;2,8083;54,2900;2,6480;27,3172;54,2900;27,3172
334,5575;48,1114;2,7766;55,6400;2,5702;29,6828;55,6400;29,6828
416,8588;48,6447;2,7506;55,5000;2,5634;27,6207;55,5000;27,6207
500,4689;49,3091;2,7267;57,0800;2,5131;28,5448;57,0800;28,5448
583,4913;49,8834;2,7016;57,6000;2,4898;28,0759;57,6000;28,0759
679,0743;50,6079;2,6752;56,5100;2,5508;29,0828;56,5100;29,0828
765,9437;51,1952;2,6471;57,6900;2,4843;29,7379;57,6900;29,7379
852,2220;51,7725;2,6260;58,8400;2,4759;30,1724;58,8400;30,1724
934,4186;52,6831;2,5951;58,6900;2,4606;30,6000;58,6900;30,6000
1016,7505;53,2324;2,5729;59,0500;2,4650;30,1862;59,0500;30,1862
1098,4602;54,0349;2,5505;60,2300;2,4310;30,8828;60,2300;30,8828
1178,9115;54,6983;2,5239;60,8400;2,3965;31,6207;60,8400;31,6207
1261,1680;55,4567;2,4969;61,0300;2,3884;32,6483;61,0300;32,6483
1343,7173;55,9490;2,4764;62,0100;2,3568;32,7862;62,0100;32,7862
96,8887;55,0011;2,5255;61,6400;2,3743;31,8414;61,6400;31,8414
196,9809;55,7331;2,4985;62,1700;2,3567;33,8552;62,1700;33,8552
108,1718;54,5918;2,5436;63,3900;2,3381;34,7310;63,3900;34,7310
98,0026;57,1651;2,4518;62,8200;2,3524;33,1310;62,8200;33,1310
195,5930;57,6134;2,4253;62,7300;2,3741;33,8345;62,7300;33,8345
70,3930;60,2680;2,3271;64,0700;2,2803;34,7655;64,0700;34,7655
141,7511;60,8340;2,3069;64,1100;2,2774;34,8621;64,1100;34,8621
84,3749;59,2710;2,3708;64,1300;2,2799;35,3586;64,1300;35,3586
167,5730;59,4750;2,3673;64,2900;2,2821;35,2690;64,2900;35,2690
253,4750;59,9170;2,3535;64,5700;2,2754;35,4759;64,5700;35,4759
93,2683;58,3290;2,4163;64,4200;2,2783;35,4483;64,4200;35,4483
191,5626;58,5130;2,4101;64,4100;2,2821;35,5862;64,4100;35,5862
289,5897;45,5670;2,8896;53,8400;2,6627;25,4138;53,8400;25,4138
381,2227;45,0250;2,9114;54,1300;2,6112;27,1862;54,1300;27,1862
481,9532;45,0540;2,9045;54,1100;2,6446;27,5862;54,1100;27,5862
580,0071;45,5360;2,8884;52,9100;2,6783;27,1931;52,9100;27,1931
682,5297;46,1090;2,8712;53,8400;2,6573;28,4276;53,8400;28,4276
801,9979;46,5150;2,8534;52,3600;2,7339;25,2276;52,3600;25,2276
900,8722;46,6240;2,8485;54,8400;2,6264;26,5241;54,8400;26,5241
997,0097;46,9210;2,8343;56,4000;2,5997;30,1241;56,4000;30,1241
1093,7469;47,5610;2,8104;56,6600;2,5645;29,0345;56,6600;29,0345
1192,5966;47,8990;2,7964;55,9700;2,5678;29,6276;55,9700;29,6276
1291,2777;48,3880;2,7820;55,1300;2,6218;27,2483;55,1300;27,2483
1386,0545;48,5280;2,7731;56,3200;2,5948;28,1034;56,3200;28,1034
1483,1793;49,0520;2,7568;55,6100;2,6124;27,8207;55,6100;27,8207
1579,2218;49,3800;2,7473;57,9100;2,5501;30,4828;57,9100;30,4828
1680,6326;49,6220;2,7345;54,5700;2,6504;27,7931;54,5700;27,7931
1775,6848;49,6320;2,7258;57,2900;2,5688;29,4621;57,2900;29,4621
1871,3653;50,3660;2,7049;57,3600;2,5695;30,8345;57,3600;30,8345
1968,3997;50,8390;2,6838;56,8900;2,5336;30,7517;56,8900;30,7517
2058,8143;50,8610;2,6781;57,4600;2,5493;30,7379;57,4600;30,7379
2155,8189;51,1550;2,6688;58,5400;2,5137;30,8897;58,5400;30,8897
2248,8684;51,3170;2,6638;57,4800;2,5072;30,4000;57,4800;30,4000
2349,0092;51,8410;2,6451;56,4200;2,5357;29,4069;56,4200;29,4069
2448,0603;52,3500;2,6263;59,6500;2,5122;31,5103;59,6500;31,5103
2546,5997;52,4100;2,6201;59,6800;2,4640;31,3586;59,6800;31,3586
2642,1470;53,0900;2,6014;58,8600;2,5310;31,5103;58,8600;31,5103
2739,8512;53,2860;2,5889;59,2900;2,5083;31,7241;59,2900;31,7241
108,0715;51,7530;2,6586;59,0200;2,5070;30,8828;59,0200;30,8828
214,6249;52,0110;2,6476;60,0100;2,4536;31,6690;60,0100;31,6690
322,5576;52,3090;2,6347;60,5200;2,4590;32,8966;60,5200;32,8966
