;config_11_avg
Standard_Acc;71,7900
RMSCE;0,0202
gaussian_noise;34,8280
shot_noise;39,1040
impulse_noise;36,7180
defocus_blur;47,4560
glass_blur;39,4380
motion_blur;53,2800
zoom_blur;49,7760
snow;48,7780
frost;51,3680
fog;53,8640
brightness;58,6200
contrast;41,1080
elastic_transform;55,1120
pixelate;58,3060
jpeg_compression;57,5280
speckle_noise;32,6900
gaussian_blur;50,5700
spatter;49,6860
saturate;54,2180
blue_noise_sample;53,0800
brownish_noise;55,6600
caustic_refraction;36,8360
checkerboard_cutout;46,2440
cocentric_sine_waves;31,4840
inverse_sparkles;27,7740
perlin_noise;60,0080
plasma_noise;31,9460
single_frequency_greyscale;28,8500
sparkles;63,6900
Acc_C-all-19;48,0236
Acc_C-original-15;48,3523
Acc_C-bar-10;43,5572
Acc_all-ex-pixelwise-noise-24;47,9833
RMSCE_C;0,1026
Combined_Noise;65,6500
