;Train-Train;Train-Test;Test-Test
non-zero images;99960,000000;9993,000000;10000,000000
Mean Distance;1923,624756;1922,687134;2047,357544
Minimal Distance;261,751038;397,705109;612,517273
2nd;261,751038;408,407501;612,517273
3rd;316,833313;441,687469;676,022705
4th;352,185913;459,542236;676,022705
5th;365,865509;472,767853;694,234131
6th;368,142273;518,446045;694,234131
7th;369,106537;531,721741;698,172913
8th;369,295898;549,894897;701,705750
9th;369,295898;571,547546;706,845459
10th;373,628937;576,059265;718,670715
