;Train-Train;Train-Test;Test-Test
non-zero images;45337,000000;5044,000000;5044,000000
Mean Distance;14157,488281;14119,971680;14736,681641
Minimal Distance;5228,469727;5436,074219;6211,973145
2nd;5228,469727;5511,591309;6211,973145
3rd;5519,919922;6092,052734;6765,798340
4th;5519,919922;6398,265137;7016,642090
5th;5560,050293;6429,995117;7293,349609
6th;5613,903809;6472,157227;7293,349609
7th;5613,903809;6473,062012;7513,773438
8th;5662,290527;6534,500977;7589,807129
9th;5662,290527;6766,361816;7628,723633
10th;5680,097656;6830,020996;7628,723633
